Skewer and chips,EXPRESS LUNCH,"Chicken, lamb cubes or kafta with chips (or rice) and Lebanese salad 
",6.00
Falafel platter,EXPRESS LUNCH,"Falafel, salad, homos, vine leaves and fresh bread 
",6.00
Chicken salad,EXPRESS LUNCH,Freshly grilled breast fillet with Lebanese salad ,6.00
Veggi platter,EXPRESS LUNCH,"Choose four items from the display counter, with fresh bread ",6.00
Omelette,EXPRESS LUNCH,Served with chips and salad ,6.00
Falafel wrap,VEGETARIAN WRAPS,,3.95
Fried vegetables wrap,VEGETARIAN WRAPS,,3.95
Vine leaves wrap,VEGETARIAN WRAPS,,3.95
Spicy potatoes wrap,VEGETARIAN WRAPS,,3.95
Pumpkin kebbeh wrap,VEGETARIAN WRAPS,,3.95
Moutabal wrap,VEGETARIAN WRAPS,,3.95
Homos wrap,VEGETARIAN WRAPS,,3.95
Halloumi cheese wrap,VEGETARIAN WRAPS,,3.95
Chicken taouk wrap,MEAT WRAPS,,4.00
Lamb kebab wrap,MEAT WRAPS,,5.00
Lamb kafta wrap,MEAT WRAPS,,4.00
Lamb shawarma wrap,MEAT WRAPS,,5.00
Chicken shawarma wrap,MEAT WRAPS,,5.00
Makanek wrap,MEAT WRAPS,,4.50
Soujuk wrap,MEAT WRAPS,Spicy lamb sausages,4.50
Roast chicken wrap,MEAT WRAPS,,4.00
Roast chicken panini,PANINI,,4.00
Soujuk panini,PANINI,Spicy lamb sausages,4.50
Fried aubergines and halloumi panini,PANINI,,4.50
Halloumi with onions and tomatoes panini,PANINI,,4.00
Chunky chips,SIDE ORDERS,A portion of handmade chips with garlic sauce,3.25
French fries,SIDE ORDERS,,2.50
Lebanese salad,SIDE ORDERS,,3.25
Feta salad,SIDE ORDERS,,4.95
Yoghurt and cucumber,SIDE ORDERS,,3.95
Rice,SIDE ORDERS,,3.00
Fresh Lebanese bread,SIDE ORDERS,,1.00
Regular coffee,HOT DRINKS,,1.50
Cappuccino,HOT DRINKS,,1.70
Cafe Latte,HOT DRINKS,,1.60
Espresso,HOT DRINKS,,1.50
Mocha,HOT DRINKS,,1.70
Machiato,HOT DRINKS,,1.50
Hot chocolate,HOT DRINKS,,1.70
Lebanese coffee,HOT DRINKS,,1.50
Tea and infusions,HOT DRINKS,,1.50
Fresh mint tea,HOT DRINKS,,1.70
Coca Cola,COLD DRINKS,,1.50
Diet Coke,COLD DRINKS,,1.50
Pepsi,COLD DRINKS,,1.50
7-Up,COLD DRINKS,,1.50
Tango Orange,COLD DRINKS,,1.50
Yoghurt drink,COLD DRINKS,,1.75
Fresh orange juice,COLD DRINKS,,2.50
Fresh lemonade,COLD DRINKS,,1.95
Still water,COLD DRINKS,,1.00
Sparkling water,COLD DRINKS,,1.50
Almaza Lebanese beer,COLD DRINKS,,3.75
Stella beer,COLD DRINKS,,3.25
San Miguel beer,COLD DRINKS,,3.25
Lebanese wine,COLD DRINKS,A glass of Lebanese wine,4.95
Banana smoothie,SMOOTHIES,,3.50
Kiwi and berries smoothie,SMOOTHIES,,3.50
Avocado and dates smoothie,SMOOTHIES,,3.50